timestamp,hour,day_of_year,temperature,humidity,cloud_cover,wind_speed,irradiance,solar_output
2023-01-01 00:00:00,0,1,14.35,70.4,0.632,6.22,11.64,0.0
2023-01-01 01:00:00,1,1,13.2,62.96,0.336,5.52,0.0,0.0
2023-01-01 02:00:00,2,1,13.97,71.31,0.73,5.11,0.0,0.0
2023-01-01 03:00:00,3,1,14.12,72.14,0.772,6.26,15.23,0.0
2023-01-01 04:00:00,4,1,13.88,57.08,0.136,3.75,0.0,0.0
2023-01-01 05:00:00,5,1,14.2,59.37,0.278,4.48,6.5,0.0
2023-01-01 06:00:00,6,1,12.08,76.72,0.593,5.69,2.25,0.0
2023-01-01 07:00:00,7,1,12.77,69.99,0.495,4.98,35.8,16.705
2023-01-01 08:00:00,8,1,15.59,57.54,0.561,4.92,82.88,36.588
2023-01-01 09:00:00,9,1,16.99,56.77,0.377,2.98,178.05,77.691
2023-01-01 10:00:00,10,1,17.34,56.88,0.758,6.81,151.36,69.389
2023-01-01 11:00:00,11,1,19.27,50.0,0.736,3.95,228.9,103.257
2023-01-01 12:00:00,12,1,20.67,40.67,0.579,3.81,274.3,122.876
2023-01-01 13:00:00,13,1,21.09,53.18,0.813,4.16,185.9,82.136
2023-01-01 14:00:00,14,1,21.02,59.58,0.668,5.55,220.46,100.177
2023-01-01 15:00:00,15,1,16.15,47.76,0.376,3.85,264.28,118.706
2023-01-01 16:00:00,16,1,15.27,62.69,0.646,6.3,130.4,59.381
2023-01-01 17:00:00,17,1,15.22,56.45,0.354,4.66,114.86,53.055
2023-01-01 18:00:00,18,1,14.26,76.51,0.758,6.24,16.96,6.879
2023-01-01 19:00:00,19,1,13.0,70.33,0.554,3.82,0.0,0.0
2023-01-01 20:00:00,20,1,12.53,58.46,0.524,4.54,10.84,0.0
2023-01-01 21:00:00,21,1,12.9,64.69,0.415,4.91,4.23,0.0
2023-01-01 22:00:00,22,1,14.09,77.34,0.834,4.65,19.9,0.0
2023-01-01 23:00:00,23,1,11.37,76.03,0.531,4.47,4.75,0.0
2023-01-02 00:00:00,0,2,16.83,68.73,0.475,5.45,0.0,0.0
2023-01-02 01:00:00,1,2,13.35,69.98,0.492,5.28,0.0,0.0
2023-01-02 02:00:00,2,2,14.89,70.79,0.686,6.42,2.18,0.0
2023-01-02 03:00:00,3,2,12.45,80.8,0.65,5.3,5.51,0.0
2023-01-02 04:00:00,4,2,14.18,80.7,0.66,4.27,0.0,0.0
2023-01-02 05:00:00,5,2,13.47,69.9,0.664,6.3,0.0,0.0
2023-01-02 06:00:00,6,2,14.6,72.42,1.0,7.39,9.4,0.0
2023-01-02 07:00:00,7,2,13.8,57.3,0.48,4.66,29.44,13.426
2023-01-02 08:00:00,8,2,17.94,62.58,0.456,3.39,95.7,42.678
2023-01-02 09:00:00,9,2,14.73,53.26,0.39,3.73,197.7,90.561
2023-01-02 10:00:00,10,2,19.5,50.35,0.705,6.02,175.35,78.997
2023-01-02 11:00:00,11,2,19.04,54.61,0.818,4.04,176.7,80.897
2023-01-02 12:00:00,12,2,17.74,39.94,0.544,4.24,305.53,137.65
2023-01-02 13:00:00,13,2,22.2,46.88,0.384,4.07,368.0,165.207
2023-01-02 14:00:00,14,2,21.63,42.75,0.388,5.33,333.39,151.169
2023-01-02 15:00:00,15,2,14.97,49.0,0.712,5.09,162.89,73.957
2023-01-02 16:00:00,16,2,17.24,57.6,0.733,5.41,125.15,58.94
2023-01-02 17:00:00,17,2,16.67,62.2,0.689,5.74,70.81,32.615
2023-01-02 18:00:00,18,2,14.76,67.02,0.423,5.41,30.35,14.086
2023-01-02 19:00:00,19,2,15.59,78.23,0.62,4.56,27.35,0.0
2023-01-02 20:00:00,20,2,15.28,77.47,0.595,4.0,0.0,0.0
2023-01-02 21:00:00,21,2,13.72,73.14,0.617,4.09,0.33,0.0
2023-01-02 22:00:00,22,2,16.73,74.28,0.761,4.38,0.0,0.0
2023-01-02 23:00:00,23,2,14.72,69.52,0.618,3.89,0.0,0.0
2023-01-03 00:00:00,0,3,12.75,65.61,0.723,5.13,0.0,0.0
2023-01-03 01:00:00,1,3,12.45,71.66,0.588,4.02,0.0,0.0
2023-01-03 02:00:00,2,3,15.14,68.48,0.637,5.94,0.0,0.0
2023-01-03 03:00:00,3,3,12.09,80.33,0.712,3.78,0.0,0.0
